Accuracy,F1 score,Precision,Recall,Model Name
0.8925,0.6126126126126126,0.5666666666666667,0.6666666666666666,ann
0.7975,0.49689440993788814,0.6666666666666666,0.39603960396039606,Nb
0.8975,0.6495726495726496,0.6333333333333333,0.6666666666666666,random-forest
0.905,0.5365853658536585,0.36666666666666664,1.0,svm
